44 43
0 35 0.000
4 23 0.241
28 45 0.367
36 37 0.370
6 46 0.484
19 40 0.566
11 20 0.591
2 15 .363
8 17 0.641
16 49 0.766
41 53 0.779
22 50 0.780
7 56 0.913
29 32 1.032
27 52 1.040
5 30 1.118
42 43 1.181
12 26 1.186
24 59 1.205
51 57 1.205
10 14 1.215
3 13 1.310
1 18 1.322
33 39 1.347
34 38 1.377
9 21 1.410
31 66 1.437
25 69 1.442
58 65 1.504
68 71 1.586
64 67 1.670
70 73 1.692
54 56 1.726
61 74 1.759
60 62 1.820
75 77 1.923
72 76 1.984
48 63 1.990
47 79 2.448
78 82 2.748
44 83 2.917
80 81 3.146
84 85 7.185
